"Added %s new categories.","Es wurden %s neue Kategorien angelegt."
"Advanced (only Allyouneed)","Fortgeschritten (nur Allyouneed)"
"all","Alle"
"Allyouneed Active","Allyouneed aktivieren"
"Allyouneed Attribute","Allyouneed-Attribut"
"Axis","Achse"
"BestPrice Interval (only Allyouneed)","BestPrice Intervall (nur Allyouneed)"
"BestPrice refresh interval.","Intervall für BestPrice Aktualisierung."
"best prices","Beste Preise"
"Brand","Marke"
"Bust Measurement",Brustumfang
"Category","Kategorie"
"Collar","Kragenform"
"Collection","Kollektion"
"Color","Farbe"
"Connecting to Allyouneed server failed.","Die Verbindung zum Allyouneed-Server konnte nicht aufgebaut werden."
"Connection to Allyouneed server timed out.","Zeitüberschreitung beim Verbindungsaufbau zu Allyouneed-Server."
"Count of products transfered during a single cycle","Anzahl der Produkte, die in einem Durchlauf übertragen werden"
"Country of Manufacture","Herstellungsland" 
"Credentials","Zugangsdaten"
"Cup","Cup"
"Customer (nur Allyouneed)","Kunde (nur Allyouneed)"
"Cycle product count","Anzahl Produkte pro Durchlauf"
"Cylinder","Zylinder"
"Default customer email","Standard Kunden Email"
"Default delivery time","Standard-Lieferzeit"
"Default tax rate","Standard-Steuersatz"
"Degree of Grinding","Mahlgrad"
"Deleted categories","Gelöschte Kategorien"
"Deleted %s categories.","Es wurden %s Kategorien gelöscht, die im Allyouneed-Marktplatz nicht mehr verfügbar sind."
"Delivery time attribute","Attribut für Lieferzeit"
"Delivery time in days if no other delivery time applies","Lieferzeit in Tagen, wenn keine andere Lieferzeit angegeben wird"
"Delivery time","Lieferzeit (in Tagen)"
"Department","Abteilung"
"Diameter","Durchmesser"
"Dimension","Abmessung"
"Disable Postpay using Configuration / Payment Methods / Postpay Standard and Postpay Express.","Deaktivierung von Postpay unter Konfiguration / Bezahlmethoden / Postpay Standard und Postpay Express."
"edit product","Produkt bearbeiten"
"Error","Fehler"
"Flavor","Geschmacksrichtung"
"Format","Format"
"Frame","Fassung"
"Height","Höhe"
"Import Categories","Allyouneed Kategorien importieren" 
"import categories","Kategorien importieren"
"Inscription","Beschriftung"
"Internal error on Allyouneed server","Interner Fehler auf Allyouneed-Server",
"Invalid modification of element","Unerlaubte Modifikation des Elementes"
"Invalid response from Allyouneed server.","Ungültige Antwort von Allyouneed-Server erhalten."
"Invalid value for field","Ungültiger Wert für Feld"
"Language","Sprache"
"Length","Länge"
"Main Material","Hauptmaterial"
"Marketplace category structure was up to date. There have been no changes.","Markplatz-Kategoriestruktur ist auf dem neuesten Stand."
"Material","Material"
"Missing value for field","Fehlender Wert für Feld"
"Model","Modell"
"New categories","Neue Kategorien"
"Optics","Optik"
"Overview","Übersicht"
"Platform","Plattform"
"Please select the product attribute which represents the approx. delivery time","Bitte wählen Sie die Produkteigenschaft, welche die Lieferzeit angibt."
"please wait","Bitte warten...",
"Product attribute containing EAN","Produktattribut der EAN"
"Product attributes (only Allyouneed)","Produktattribute (nur Allyouneed)"
"Product attributes","Produkteigenschaften"
"Product export failed. Failed connecting to Allyouneed server.","Produktexport fehlgeschlagen: Konnte keine Verbindung zu Allyouneed aufgebaut werden."
"Product export failed for unknown reason.","Der Produktexport ist aus einem unbekannten Grund fehlgeschlagen."
"Product export interval","Intervall für Produktexport"
"Product Export (only Allyouneed)","Produkt Export (nur Allyouneed)"
"Product is unknown in Allyouneed marketplace","Produkt ist im Allyouneed Marktplatz nicht bekannt"
"Product stock is lower than zero.","Der Lagerbestand für dieses Produkt ist im negativen Bereich."
"Quantity","Anzahl"
"Radius","Radius"
"Reduced tax rate","Reduzierter Steuersatz"
"Renamed %s categories.","Es wurden %s Kategorien umbenannt."
"Result","Ergebnis"
"Sets","Sets"
"Size","Größe"
"Sleeve's Length","Ärmellänge"
"%s of %s products were successfully exported","%s von %s Produkten wurden erfolgreich exportiert"
"Speed Index","Geschwindigkeitsindex"
"start again","nochmal starten"
"Strength","Stärke"
"Style","Stil"
"Subject","Motiv"
"Successfully imported marketplace categories.","Die Marktplatz-Kategorien wurden erfolgreich mit Allyouneed abgeglichen."
"Tax rates (nur Allyouneed)","Steuersätze (nur Allyouneed)"
"Tax rates","Steuersätze"
"Textual introduction into category import goes here...","<b>Hier können Sie die Marktplatzkategorien von Allyouneed importieren.</b><p>Wenn Sie die Allyouneed-Marktplatzkategorien schon einmal importiert haben, werden diese nicht überschrieben, sondern nur mögliche Änderungen und Ergänzungen vorgenommen. Produkte, die Sie bereits Allyouneed-Marktplatzkategorien zugeordnet haben, bleiben weiterhin diesen Kategorien zugeordnet. Produkte, deren Kategorie gelöscht wurde, müssen vor einer erneuten Übertragung neu einer Kategorie zugewiesen werden.</p><p>Starten Sie den Importvorgang durch Betätigen des &bdquo;<i>Kategorien importieren</i>&rdquo;-Buttons. Der Vorgang kann einige Minuten dauern. Brechen Sie den Vorgang nicht ab.</p>"
"The default tax rate applies to most products","Dieser Steuersatz gilt für die meisten Produkte."
"The product is not mapped to neither a marketplace nor a shop category","Dieses Produkt ist weder einer Markplatzkategorie noch einer Shopkategorie zugewiesen"
"The provided data was incorrect","Allyouneed konnte die gegebenen Daten nicht akzeptieren"
"The reduced tax rate applies to special products, such as aliments","Der reduzierte Steuersatz, der für spezielle Produkte - etwa Nahrungsmittel - gilt."
"The referenced marketplace category could not be found at Allyouneed","Die angegebene Marktplatzkategorie kann auf Allyouneed nicht gefunden werden. Bitte importieren Sie die Marktplatzkategorien erneut, um auf dem aktuellen Stand zu arbeiten"
"The referenced product cannot be sold","Das Produkt kann nicht auf Allyouneed verkauft werden"
"The referenced shop category could not be found at Allyouneed","Die angegebene Shop-Kategorie konnte bei Allyouneed nicht gefunden werden"
"There were no products that could be exported.","Es konnten keine Produkte exportiert werden."
"This eMail address is used as the default one for orders that do not include one.","Diese E-Mail-Adresse wird als Standard-Adresse für Bestellungen verwendet, für die keine Kunden-E-Mail-Adresse geliefert wird."
"total","gesamt"
"Type","Typ"
"Unknown error","Es ist ein unbekannter Fehler aufgetreten"
"Use product special price if available","Verwende den Sonderpreis, wenn ein solcher vorhanden ist"
"Use special price if available","Verwende Sonderpreis, wenn vorhanden"
"Variant group does not exist on Allyouneed","Die verwendeten Produktattribute sind als Allyouneed-Variantenkonfiguration nicht bekannt."
"Width","Breite"
"Year","Jahr"
"You are not authorized to execute the requested functionality on Allyouneed","Sie sind nicht berechtigt diese Funktionalität der Allyouneed-Plattform zu nutzen"
